From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
1041;5035;sea;296;-1;-1;-1;-1;;Shi to Shi
7083;7082;;1880;-1;-1;-1;-1;PORT_MAW;Port Maw to Port Maw
2523;3877;sea;1883;-1;-1;-1;-1;;Port Maw to Rib Breakers
4200;4202;sea;1884;-1;-1;-1;-1;;Mirelurk Tribe to Rib Breakers
7125;4107;sea;1885;-1;-1;-1;-1;;Mirelurk Tribe to Troll Warren
4346;1986;sea;1885;-1;-1;-1;-1;;Bone Pickers to Troll Warren
7383;3926;sea;5814;-1;-1;-1;-1;;Issaquah Nation to Old Country
7386;3942;sea;5816;-1;-1;-1;-1;;Old Country to Bellingham
7208;3643;sea;5861;-1;-1;-1;-1;;Bellingham to Broken Coast
7215;3989;sea;5864;-1;-1;-1;-1;;Bellingham to Broken Coast
2151;3823;sea;5865;-1;-1;-1;-1;;Dredgers to Dredgers
2469;7219;sea;5870;-1;-1;-1;-1;;Dredgers to Dredgers
2545;4443;sea;592;-1;-1;-1;-1;;New Victoria to New Victoria
5128;5133;sea;607;-1;-1;-1;-1;;Haida Confederation to Haida Confederation
5129;5136;sea;147;-1;-1;-1;-1;;Haida Confederation to Haida Confederation
5135;660;sea;147;-1;-1;-1;-1;;Haida Confederation to Haida Confederation
660;5137;sea;147;-1;-1;-1;-1;;Haida Confederation to Haida Confederation
3691;620;sea;125;-1;-1;-1;-1;;Broken Coast to Broken Coast
8485;7423;sea;77;-1;-1;-1;-1;;Broken Coast to Broken Coast
3716;7401;sea;77;-1;-1;-1;-1;;Broken Coast to Broken Coast
3713;436;sea;77;-1;-1;-1;-1;;Broken Coast to Broken Coast
4409;4407;sea;77;-1;-1;-1;-1;;Broken Coast to Broken Coast
4413;4401;sea;527;-1;-1;-1;-1;;Broken Coast to Broken Coast
4401;4404;sea;527;-1;-1;-1;-1;;Broken Coast to Broken Coast
4406;4403;sea;527;-1;-1;-1;-1;;Broken Coast to Broken Coast
4403;7403;sea;527;-1;-1;-1;-1;;Broken Coast to Broken Coast
229;4402;sea;527;-1;-1;-1;-1;;Broken Coast to Broken Coast
